BASKET_NUM,COMMODITY
18475,FROZEN FOOD
84333,FROZEN FOOD
82731,FROZEN FOOD
7283,FROZEN FOOD
49810,FROZEN FOOD
9591,FROZEN FOOD
85335,FROZEN FOOD
62292,FROZEN FOOD
28241,FROZEN FOOD
71145,FROZEN FOOD
84364,FROZEN FOOD
51182,FROZEN FOOD
71304,FROZEN FOOD
39807,FROZEN FOOD
80244,FROZEN FOOD
27596,FROZEN FOOD
20117,FROZEN FOOD
84007,FROZEN FOOD
74547,FROZEN FOOD
7720,FROZEN FOOD
78926,FROZEN FOOD
17321,FROZEN FOOD
15220,FROZEN FOOD
71039,FROZEN FOOD
601,FROZEN FOOD
81932,FROZEN FOOD
21614,FROZEN FOOD
43701,FROZEN FOOD
62128,FROZEN FOOD
7976,FROZEN FOOD
35459,FROZEN FOOD
60064,FROZEN FOOD
45822,FROZEN FOOD
75715,FROZEN FOOD
38519,FROZEN FOOD
62950,FROZEN FOOD
81361,FROZEN FOOD
29687,FROZEN FOOD
14051,FROZEN FOOD
18778,FROZEN FOOD
18475,FROZEN FOOD
84333,FROZEN FOOD
82731,FROZEN FOOD
7283,FROZEN FOOD
49810,FROZEN FOOD
9591,FROZEN FOOD
85335,FROZEN FOOD
62292,FROZEN FOOD
28241,FROZEN FOOD
71145,FROZEN FOOD
84364,FROZEN FOOD
51182,FROZEN FOOD
71304,FROZEN FOOD
39807,FROZEN FOOD
80244,FROZEN FOOD
27596,FROZEN FOOD
20117,FROZEN FOOD
84007,FROZEN FOOD
74547,FROZEN FOOD
7720,FROZEN FOOD
78926,FROZEN FOOD
17321,FROZEN FOOD
15220,FROZEN FOOD
71039,FROZEN FOOD
601,FROZEN FOOD
81932,FROZEN FOOD
21614,FROZEN FOOD
43701,FROZEN FOOD
62128,FROZEN FOOD
7976,FROZEN FOOD
35459,FROZEN FOOD
60064,FROZEN FOOD
45822,FROZEN FOOD
75715,FROZEN FOOD
38519,FROZEN FOOD
62950,FROZEN FOOD
81361,FROZEN FOOD
29687,FROZEN FOOD
14051,FROZEN FOOD
18778,FROZEN FOOD
18475,PRODUCE
31805,PRODUCE
51412,PRODUCE
